Title,Artist,Nationality,Gender,BeginDate,EndDate,release_year,Department,appt_made_date
Yellow Head with Red-Blue Striped Nose,Horst Antes,(German),(Male),-1936,,2016,**Prints & Illustrated Books**,2015-04-14T00:00:00
"Neue Wache War Memorial Project, Berlin-Mitte, Germany, Interior perspective. Sketch.",Ludwig Mies van der Rohe,(American),(Male),-1886,-1969,2017),**Architecture & Design**,2015-04-14T00:00:00
"Untitled from Flash - November 22, 1963",Andy Warhol,(American),(Male),-1928,-1987,2016C,**Prints & Illustrated Books**,2015-04-14T00:00:00
Plate (folio 19) from MADRIGAUX,Raoul Dufy,(French),(Male),-1877,-1953,1992S,**Prints & Illustrated Books**,2015-04-14T00:00:00
Cleanliness Flux Kit,Ken Friedman,(American),(Male),-1939,,2001),**Prints & Illustrated Books**,2015-04-14T00:00:00
Tablet Litho 22,Eleanore Mikus,(American),(Female),-1927,-2017,2006,**Prints & Illustrated Books**,2015-04-14T00:00:00
Microscopic Study of a Drop of Water - Magnified Several Hundred Times,Gustav Schenk,(German),(Male),-1905,-1969,2016),**Photography**,2015-04-14T00:00:00
"Plate 6 of 11, from the illustrated book, He Disappeared into Complete Silence, second edition",Louise Bourgeois,(American),(Female),-1911,-2010,2001S,**Prints & Illustrated Books**,2015-04-14T00:00:00
Front cover from Pustynniki; Pustynnitsa. Dve poemy (Hermits; Hermitess: Two Poems),Natalia Goncharova,(Russian),(Female),-1881,-1962,2017,**Prints & Illustrated Books**,2015-04-14T00:00:00
Tailpiece (page 112) from Les Chants de Maldoror,Salvador Dalí,(Spanish),(Male),-1904,-1989,2016s,**Prints & Illustrated Books**,2015-04-14T00:00:00
Self Portraits - Second Published State (The Dartmouth Portraits),Jim Dine,(American),(Male),-1935,,2017s,**Prints & Illustrated Books**,2015-04-14T00:00:00
Mr. Bristol's Barn 95,John Szarkowski,(American),(Male),-1925,-2007,2013,**Photography**,2015-04-14T00:00:00
JEAN LOUIS ERNEST MEISSONIER (1815-91),Robert J. Bingham,(British),(Male),-1824,-1870,2016),**Photography**,2015-04-14T00:00:00
Untitled,Thomas Roma,(American),(Male),-1950,,2017s,**Photography**,2015-04-14T00:00:00
Plate (folio 9 verso) from DER MOSAIKELEFANT UND ANDERE GEDICHTE,Bernhard Luginbühl,(Swiss),(Male),-1929,-2011,2016,**Prints & Illustrated Books**,2015-04-14T00:00:00
"Plate 14 (in-text plate, folio 17) from Yvette Guilbert",Henri de Toulouse-Lautrec,(French),(Male),-1864,-1901,2017C,**Prints & Illustrated Books**,2015-04-14T00:00:00
Nosferatu,F.W. Murnau,(German),(Male),-1888,-1931,2017(,**Film**,2015-04-14T00:00:00
"Plate (folio 58) from Six Geometric Figures and All Their Combinations, Volume II",Sol LeWitt,(American),(Male),-1928,-2007,2016,**Prints & Illustrated Books**,2015-04-14T00:00:00
MYTO chair,Konstantin Grcic,(German),(Male),-1965,,2016),**Architecture & Design**,2015-04-14T00:00:00
Untitled,Eugène Atget,(French),(Male),-1857,-1927,2017s,**Photography**,2015-04-14T00:00:00
"Pottery, Number 9",Evert Lundquist,(Swedish),(Male),-1904,-1994,2016,**Painting & Sculpture**,2015-04-14T00:00:00
Memories (Me),Sheng Qi,(Chinese),(Male),-1965,,2017C,**Photography**,2015-04-14T00:00:00
Farmer’s Wife from the Sieg Valley,August Sander,(German),(Male),-1876,-1964,2017(,**Photography**,2015-04-14T00:00:00
Untitled (page from Sump),Jerome Neuner,(American),(Male),-1945,,2016,**Photography**,2015-04-14T00:00:00
"Auto-Destructive Construction, Festival of Misfits, ICA, London, October 23- November 8, 1962",Gustav Metzger,(British),(),-1926,-2017,2017),**Prints & Illustrated Books**,2015-04-14T00:00:00
What's Up?,Harun Farocki,(German),(Male),-1944,-2014,2016C,**Media and Performance Art**,2015-04-14T00:00:00
"Bravo! (Brabisimo!) (plate 38, folio 38) from Los Caprichos",Francisco de Goya,(Spanish),(Male),-1746,-1828,1992S,**Prints & Illustrated Books**,2015-04-14T00:00:00
ENCLOSURE (8),Kunihiro Amano,(Japanese),(Male),,,2001),**Prints & Illustrated Books**,2015-04-14T00:00:00
"The Couple, plate 5 of 7, from the portfolio, La Réparation",Louise Bourgeois,(American),(Female),-1911,-2010,2006,**Prints & Illustrated Books**,2015-04-14T00:00:00
Untitled (Picasso),Maurizio Cattelan,(Italian),(Male),-1960,,2016),**Drawings**,2015-04-14T00:00:00
"Fold-out three-page plate (folios 12 verso, through 14) from FOUNTAINHEAD",Kiki Smith,(American),(Female),-1954,,2001S,**Prints & Illustrated Books**,2015-04-14T00:00:00
Colophon from Album,Terry Winters,(American),(Male),-1949,,2017,**Prints & Illustrated Books**,2015-04-14T00:00:00
Headpiece (page 143) from POÈME DE L'ANGLE DROIT,Le Corbusier (Charles-Édouard Jeanneret),(French),(Male),-1887,-1965,2016s,**Prints & Illustrated Books**,2015-04-14T00:00:00
Buying a New Car from the Factory from God Love the Tragic Artist: Meg Cranston on the Life of Marvin Gaye,Meg Cranston,(American),(Female),-1960,,2017s,**Drawings**,2015-04-14T00:00:00
In-text plate (page 22) from TAGEBÜCHER,Antonio Saura,(Spanish),(Male),-1930,-1998,2013,**Prints & Illustrated Books**,2015-04-14T00:00:00
Love Poems,Marc Chagall,(French),(Male),-1887,-1985,2016),**Prints & Illustrated Books**,2015-04-14T00:00:00
Plate (folio 4) from POR EL PUENTE DE LA PALABRA,Carlos Silva,(Argentine),(Male),-1930,-1987,2017s,**Prints & Illustrated Books**,2015-04-16T00:00:00
Rock Pattern,Akira Miyoshi,(Japanese),(Male),-1919,,2016,**Photography**,2015-04-14T00:00:00
Sonia Delaunay letterhead,Sonia Delaunay-Terk,(French),(Female),-1885,-1979,2017C,**Architecture & Design**,2015-04-14T00:00:00
"Grand Canyon, Arizona",Eliot Porter,(American),(Male),-1901,-1990,2017(,**Photography**,2015-04-14T00:00:00
Entrance and Exit Music,George Brecht,(American),(Male),-1926,-2008,2016,**Prints & Illustrated Books**,2015-04-14T00:00:00
Sketchbook,John D. Graham,(American),(Male),-1881,-1961,2016),**Drawings**,2015-04-14T00:00:00
"Double page plate (supplementary suite, plate 13) from VACILLATIONS",Pierre Alechinsky,(Belgian),(Male),-1927,,2017s,**Prints & Illustrated Books**,2015-04-15T00:00:00
Mind the Gap from Disasters of Peace,Diane Victor,(South African),(Female),-1964,,2016,**Prints & Illustrated Books**,2015-04-15T00:00:00
"...ON THE PLAIN OF BAGATELLE WHERE THURDAY'S SCHOOLBOYS PLAY BALL... (plate, facing page 15) from LA RELÊVE DU MATIN",Robert Delaunay,(French),(Male),-1885,-1941,2017C,**Prints & Illustrated Books**,2015-04-15T00:00:00
Manhole,Joseph Dankowski,(American),(Male),-1932,-2010,2017(,**Photography**,2015-04-15T00:00:00
Unconcerned Photograph,Man Ray (Emmanuel Radnitzky),(American),(Male),-1890,-1976,2016,**Photography**,2015-04-15T00:00:00
Untitled,Unknown,(),(),,,2017),**Photography**,2015-04-15T00:00:00
Eleanor Marx,Art Chantry,(American),(Male),-1954,,2016C,**Architecture & Design**,2015-04-15T00:00:00
Giorgione Book,Karl Knaths,(American),(Male),-1891,-1971,1992S,**Painting & Sculpture**,2015-04-15T00:00:00
Untitled from Vanish,Sol LeWitt,(American),(Male),-1928,-2007,2001),**Prints & Illustrated Books**,2015-04-15T00:00:00
In-text plate (page 35) from PARALLÈLEMENT,Pierre Bonnard,(French),(Male),-1867,-1947,2006,**Prints & Illustrated Books**,2015-04-15T00:00:00
Woman and Bird in Front of the Moon from the Laurels Album,Joan Miró,(Spanish),(Male),-1893,-1983,2016),**Prints & Illustrated Books**,2015-04-15T00:00:00
"Sheriff, Wagoner, Oklahoma",Dorothea Lange,(American),(Female),-1895,-1965,2001S,**Photography**,2015-04-15T00:00:00
In-text plate (folio 6) from Recollections of Childhood,José Luis Cuevas,(Mexican),(Male),-1934,-2017,2017,**Prints & Illustrated Books**,2015-04-15T00:00:00
Pictorial initial L (folio 35 verso) from LE BESTIAIRE,Roger Chastel,(French),(Male),-1897,-1981,2016s,**Prints & Illustrated Books**,2015-04-15T00:00:00
Single-flower vase,Frank Lloyd Wright,(American),(Male),-1867,-1959,2017s,**Architecture & Design**,2015-04-15T00:00:00
A Glove to be Worn While Examining from Fluxus 1,Alison Knowles,(American),(Female),-1933,,2013,**Prints & Illustrated Books**,2015-04-15T00:00:00
Magnolia Blossom,Imogen Cunningham,(American),(Female),-1883,-1976,2016),**Photography**,2015-04-15T00:00:00
Entrance and Exit Music,George Brecht,(American),(Male),-1926,-2008,2017s,**Fluxus Collection**,2015-04-15T00:00:00
Untitled,Douglas Gordon,(Scottish),(Male),-1966,,2016,**Drawings**,2015-04-15T00:00:00
"Death pulling the soul out of a dead man, 1976 from 25 Years of FUN",Matt Mullican,(American),(Male),-1951,,2017C,**Prints & Illustrated Books**,2015-04-15T00:00:00
"Diffuse Life (Vie diffuse) from the portfolio Soil, Earth (Sols, terres) from Phenomena (Les Phénomènes)",Jean Dubuffet,(French),(Male),-1901,-1985,2017(,**Prints & Illustrated Books**,2015-04-15T00:00:00
In-text plate (page 37) from TÊTE D'OR,Roger de La Fresnaye,(French),(Male),-1885,-1925,2016,**Prints & Illustrated Books**,2015-04-15T00:00:00
Untitled,Maryan S. Maryan,(American),(Male),-1927,-1977,2016),**Prints & Illustrated Books**,2015-04-15T00:00:00
Scenes from a Supermarket 11,Huguette Franco,(French),(Female),-1944,,2017s,**Prints & Illustrated Books**,2015-04-15T00:00:00
Untitled (7-L),Donald Judd,(American),(Male),-1928,-1994,2016,**Prints & Illustrated Books**,2015-04-15T00:00:00
Tailpiece (page 176) from POÈMES,Maurice Denis,(French),(Male),-1870,-1943,2017C,**Prints & Illustrated Books**,2015-04-15T00:00:00
Sketch for the film Dr. Cyclops,Ernst Schoedsack,(American),(Male),-1898,-1979,2017(,**Drawings**,2015-04-15T00:00:00
Cartridge,Sheila Hicks,(American),(Female),-1934,,2016,**Architecture & Design**,2015-04-15T00:00:00
Untitled (page from Sump),Jerome Neuner,(American),(Male),-1945,,2017),**Photography**,2015-04-15T00:00:00
Untitled,Laura Owens,(American),(Female),-1970,,2016C,**Drawings**,2015-04-15T00:00:00
Untitled,Clinton Hill,(American),(Male),-1922,,1992S,**Prints & Illustrated Books**,2015-04-15T00:00:00
The Swarm,Louise Bourgeois,(American),(Female),-1911,-2010,2001),**Prints & Illustrated Books**,2015-04-15T00:00:00
Couples I,Ida Applebroog,(American),(Female),-1929,,2006,**Drawings**,2015-04-15T00:00:00
Arctic,Ken Price,(American),(Male),-1935,-2012,2016),**Painting & Sculpture**,2015-04-15T00:00:00
Moholy Nagy Unpublished Images and Documents,Joe Scorsone,(American),(Male),-1942,,2001S,**Architecture & Design**,2015-04-15T00:00:00
"Untitled, no. 3 of 69, from the illustrated book, Album",Louise Bourgeois,(American),(Female),-1911,-2010,2017,**Prints & Illustrated Books**,2015-04-15T00:00:00
Independence/Nakba,Fazal Sheikh,(American),(Male),-1965,,2016s,**Photography**,2015-04-15T00:00:00
Festons und Dekorative Gruppen,Unknown,(),(),,,2017s,**Photography**,2015-04-15T00:00:00
Windows,Jan Dibbets,(Dutch),(Male),-1941,,2013,**Photography**,2015-04-15T00:00:00
"Flux-Harpsichord Konzert, Galerie Rene Block, Berlin, September 3, 1976",Peter Moore,(American),(Male),-1932,-1993,2016),**Fluxus Collection**,2015-04-15T00:00:00
Upholstery fabric for tubular steel chairs,Gunta Stölzl,(Swiss),(Female),-1897,-1983,2017s,**Architecture & Design**,2015-04-15T00:00:00
New Imperial Library (Door),Édouard-Denis Baldus,(French),(Male),-1813,-1882,2016,**Photography**,2015-04-15T00:00:00
Untitled,Unknown,(),(),,,2017C,**Photography**,2015-04-15T00:00:00
Two Sisters,Valdemar H. Elenbaas,(Dutch),(Male),,,2017(,**Prints & Illustrated Books**,2015-04-15T00:00:00
"Beth Sholom Synagogue, Elkins Park, Pennsylvania",Frank Lloyd Wright,(American),(Male),-1867,-1959,2016,**Architecture & Design**,2015-04-15T00:00:00
"Eight costume designs for the ballet ""FIRE""",Michael Graves,(American),(Male),-1934,-2015,2016),**Drawings**,2015-04-15T00:00:00
Poster of the French National Railroad,Album-miscellaneous,(Various),(),,,2017s,**Architecture & Design**,2015-04-15T00:00:00
Incense Sweaters & Ice (Installation),Martine Syms,(American),(Female),-1988,,2016,**Media and Performance Art**,2015-04-15T00:00:00
Material der Malerei Plastik Architektur,Raoul Hausmann,(German),(Male),-1886,-1971,2017C,**Prints & Illustrated Books**,2015-04-15T00:00:00
"Paper Piece, Festival of Misfits, ICA, London, October 23- November 8, 1962",Benjamin Patterson,(American),(Male),-1934,-2016,2017(,**Prints & Illustrated Books**,2015-04-15T00:00:00
Veiled Figure,Horst Antes,(German),(Male),-1936,,2016,**Drawings**,2015-04-15T00:00:00
Six Gestures of the Collo,Michael Mazur,(American),(Male),-1935,-2009,2017),**Prints & Illustrated Books**,2015-04-15T00:00:00
The Story of my Life and Friends as Told by Snapshots from Fourteen On,Unknown,(),(),,,2016C,**Photography**,2015-04-15T00:00:00
FONTAINE DE JARENTE. RUE JARENTE,Eugène Atget,(French),(Male),-1857,-1927,1992S,**Photography**,2015-04-15T00:00:00
ST. OUEN. RESTES D'UN ANCIEN PAVILLON DE CHASSE XVII SIÈCLE. DÉMOLI EN 1882,Eugène Atget,(French),(Male),-1857,-1927,2001),**Photography**,2015-04-15T00:00:00
Plate (folio 40) from XXXIII SONNETS,Jean Piaubert,(French),(Male),-1900,-2002,2006,**Prints & Illustrated Books**,2015-04-15T00:00:00
Santa Fe,Lee Friedlander,(American),(Male),-1934,,2016),**Photography**,2015-04-15T00:00:00
Untitled,Unknown,(),(),,,2001S,**Photography**,2015-04-15T00:00:00
Untitled,Gustav Klutsis,(Latvian),(Male),-1895,-1938,2017,**Photography**,2015-04-15T00:00:00
Hey Hey My My Rock'n Roll Never Die!,Yoshitomo Nara,(Japanese),(Male),-1959,,2016s,**Drawings**,2015-04-15T00:00:00
Untitled,Unknown,(),(),,,2017s,**Photography**,2015-04-15T00:00:00
Headpiece and initial A (page 45) from LA PRINCESSE DE BABYLONE,Kees van Dongen,(French),(Male),-1877,-1968,2013,**Prints & Illustrated Books**,2015-04-15T00:00:00
VERSAILLES -- ORANGERIE,Eugène Atget,(French),(Male),-1857,-1927,2016),**Photography**,2015-04-15T00:00:00
In-text plate (page 107) from POÈME DE L'ANGLE DROIT,Le Corbusier (Charles-Édouard Jeanneret),(French),(Male),-1887,-1965,2017s,**Prints & Illustrated Books**,2015-04-15T00:00:00
Y why worry from circus alphabet,Corita Kent (Sister Mary Corita),(American),(Female),-1918,-1986,2016,**Prints & Illustrated Books**,2015-04-15T00:00:00
Pacific Mutual Life,David Hockney,(British),(Male),-1937,,2017C,**Prints & Illustrated Books**,2015-04-15T00:00:00
Robin Starveling. Costume design for the play A Midsummer Night's Dream,Jim Dine,(American),(Male),-1935,,2017(,**Drawings**,2015-04-15T00:00:00
Rain Falling on Water,Louise Bourgeois,(American),(Female),-1911,-2010,2016,**Prints & Illustrated Books**,2015-04-15T00:00:00
"Asnières, Ancien chateau René Voyer d'Argenson",Eugène Atget,(French),(Male),-1857,-1927,2016),**Photography**,2015-04-15T00:00:00
Untitled from Favorite Objects,Christian Boltanski,(French),(Male),-1944,,2017s,**Prints & Illustrated Books**,2015-04-15T00:00:00
First Theme,Burgoyne Diller,(American),(Male),-1906,-1965,2016,**Painting & Sculpture**,2015-04-15T00:00:00
MEDITATION ON THEOREM OF PYTHAGORAS from the portfolio Q.E.D,Mel Bochner,(American),(Male),-1940,,2017C,**Prints & Illustrated Books**,2015-04-15T00:00:00
Les Halles,Eugène Atget,(French),(Male),-1857,-1927,2017(,**Photography**,2015-04-15T00:00:00
Desiccated Sculpture (Escultura dissecada),Antoni Llena,(Spanish),(Male),-1942,,2016,**Drawings**,2015-04-15T00:00:00
"Tinker Children, Ireland",Alen MacWeeney,(American),(Male),-1939,,2017),**Photography**,2015-04-15T00:00:00
"Imperial Hotel, Tokyo (Cropped view of the exterior)",Frank Lloyd Wright,(American),(Male),-1867,-1959,2016C,**Architecture & Design**,2015-04-15T00:00:00
Tokyo,Lee Friedlander,(American),(Male),-1934,,1992S,**Photography**,2015-04-15T00:00:00
Coordination II,Agam (Yaacov Agam),(Israeli),(Male),-1928,,2001),**Prints & Illustrated Books**,2015-04-15T00:00:00
Tailpiece (page 115) from SAINTE MONIQUE,Pierre Bonnard,(French),(Male),-1867,-1947,2006,**Prints & Illustrated Books**,2015-04-15T00:00:00
In-text plate (page 123) from LA RÉVOLTE DES ANGES,Kees van Dongen,(French),(Male),-1877,-1968,2016),**Prints & Illustrated Books**,2015-04-15T00:00:00
Untitled,Unknown,(),(),,,2001S,**Photography**,2015-04-15T00:00:00
Detroit,Harry Callahan,(American),(Male),-1912,-1999,2017,**Photography**,2015-04-15T00:00:00
First table of plates from PASSION,Georges Rouault,(French),(Male),-1871,-1958,2016s,**Prints & Illustrated Books**,2015-04-15T00:00:00
Ballet School. Designs for scenery,Franklin Chenault Watkins,(American),(Male),-1894,-1972,2017s,**Drawings**,2015-04-15T00:00:00
Lounge Chairs without Arms (Perspective and elevation sketches),Ludwig Mies van der Rohe,(American),(Male),-1886,-1969,2013,**Architecture & Design**,2015-04-15T00:00:00
"La Revue Blanche, no. 38",Maurice Denis,(French),(Male),-1870,-1943,2016),**Prints & Illustrated Books**,2015-04-15T00:00:00
Alone Together,Herbert Danska,(American),(Male),-1927,,2017s,**Film**,2015-04-15T00:00:00
Untitled,Rosemarie Trockel,(German),(Female),-1952,,2016,**Drawings**,2015-04-15T00:00:00
Inside It's Bright; Outside It's Dark,James Fitton,(British),(Male),-1899,-1982,2017C,**Architecture & Design**,2015-04-15T00:00:00
Ascension,Rodolfo Abularach,(Guatemalan),(Male),-1933,,2017(,**Prints & Illustrated Books**,2015-04-15T00:00:00
"Crocuses and Primroses, Orgeval",Paul Strand,(American),(Male),-1890,-1976,2016,**Photography**,2015-04-15T00:00:00
Rhineland Songwriter [Willi Ostermann],August Sander,(German),(Male),-1876,-1964,2016),**Photography**,2015-04-15T00:00:00
Therese Giehse,Chargesheimer (Karl-Heinz Hargesheimer),(German),(Male),-1924,-1972,2017s,**Photography**,2015-04-15T00:00:00
Untitled (6.8.84),Oliver Jackson,(American),(Male),-1935,,2016,**Painting & Sculpture**,2015-04-15T00:00:00
"Joan Miró, 13 lithographies - Maeght-Editeur, Paris",Joan Miró,(Spanish),(Male),-1893,-1983,2017C,**Architecture & Design**,2015-04-15T00:00:00
Maquette for cover of Agronomy,Kirill Zdanevich,(Russian),(Male),-1892,-1969,2017(,**Prints & Illustrated Books**,2015-04-15T00:00:00
Plate (facing page 28) from Nohow On,Robert Ryman,(American),(Male),-1930,,2016,**Prints & Illustrated Books**,2015-04-15T00:00:00
"Invitation for A Fluxconcert Party, 37 Walker St., New York, March 24, 1979",Ken Friedman,(American),(Male),-1939,,2017),**Prints & Illustrated Books**,2015-04-15T00:00:00
Another World,Éric Chahi,(French),(Male),-1967,,2016C,**Architecture & Design**,2015-04-15T00:00:00
Untitled from Keffieyeh,Tsibi Geva,(Israeli),(Male),-1951,,1992S,**Prints & Illustrated Books**,2015-04-15T00:00:00
Te li le,Olga Rozanova,(Russian),(Female),-1886,-1918,2001),**Prints & Illustrated Books**,2015-04-15T00:00:00
"BEACH, ADALVIK, ICELAND",Stuart Klipper,(American),(Male),-1941,,2006,**Photography**,2015-04-15T00:00:00
"Untitled, #6 from the series Forms Derived from a Rectangular Solid",Sol LeWitt,(American),(Male),-1928,-2007,2016),**Prints & Illustrated Books**,2015-04-15T00:00:00
"""Pandora"" Jumping a Hurdle, Bareback; Rider Nude: Plate 647 from Animal Locomotion (1887)",Eadweard J. Muybridge,(American),(Male),-1830,-1904,2001S,**Photography**,2015-04-15T00:00:00
"BACKGROUND/FORM, plate 16 (double page plate, folios 35 and 36) from D'UNE IMPRESSION L'AUTRE",Daniel Buren,(French),(Male),-1938,,2017,**Prints & Illustrated Books**,2015-04-15T00:00:00
"Silhouette, buildings",Harry Callahan,(American),(Male),-1912,-1999,2016s,**Photography**,2015-04-15T00:00:00
Costume design for the opera Satyagraha: Indian Woman,Robert Israel,(American),(Male),-1939,,2017s,**Drawings**,2015-04-15T00:00:00
"Torrent from the portfolio Waters, Stones, Sand (Eaux, Pierres, Sable) from Phenomena (Les Phénomènes)",Jean Dubuffet,(French),(Male),-1901,-1985,2013,**Prints & Illustrated Books**,2015-04-15T00:00:00
Trolley--New Orleans,Robert Frank,(American),(Male),-1924,,2016),**Photography**,2015-04-15T00:00:00
Plate (page 3) from ZITAT,Gottfried Honegger,(Swiss),(Male),-1917,-2016,2017s,**Prints & Illustrated Books**,2015-04-15T00:00:00
In-text plate (folio 7) from THE DONKEY AND THE DARLING,Larry Rivers,(American),(Male),-1923,-2002,2016,**Prints & Illustrated Books**,2015-04-15T00:00:00
Great Mother (Harumi),Mako Idemitsu,(Japanese),(Female),-1940,,2017C,**Media and Performance Art**,2015-04-15T00:00:00
"To rise and to fall (Subir y bajar) (plate 56, folio 56) from Los Caprichos",Francisco de Goya,(Spanish),(Male),-1746,-1828,2017(,**Prints & Illustrated Books**,2015-04-15T00:00:00
Folio 27 from Mirskontsa (Worldbackwards),Aleksei Kruchenykh,(Russian),(Male),-1886,-1969,2016,**Prints & Illustrated Books**,2015-04-15T00:00:00
Architecture School Representatives,August Sander,(German),(Male),-1876,-1964,2016),**Photography**,2015-04-15T00:00:00
"David Bowie, Low",Unknown,(Nationality unknown),(),,,2017s,**Architecture & Design**,2015-04-15T00:00:00
Solo Music,Philip Glass,(American),(),-1937,,2016,**Prints & Illustrated Books**,2015-04-15T00:00:00
Shipyard Workers,August Sander,(German),(Male),-1876,-1964,2017C,**Photography**,2015-04-15T00:00:00
LA MADELEINE. DÉTAIL (PORTE),Eugène Atget,(French),(Male),-1857,-1927,2017(,**Photography**,2015-04-15T00:00:00
"Project for a single-family house, Der rote Würfel (The red cube)",Farkas Molnár,(Hungarian),(Male),-1897,-1945,2016,**Architecture & Design**,2015-04-15T00:00:00
Em,Elizabeth Peyton,(American),(Female),-1965,,2017),**Prints & Illustrated Books**,2015-04-15T00:00:00
Where Would We Be Without Each Other?,Louise Bourgeois,(American),(Female),-1911,-2010,2016C,**Prints & Illustrated Books**,2015-04-16T00:00:00
Legal Deposit Bag,Fiona Banner,(British),(Female),-1966,,1992S,**Prints & Illustrated Books**,2015-04-15T00:00:00
Bed,Louise Bourgeois,(American),(Female),-1911,-2010,2001),**Prints & Illustrated Books**,2015-04-15T00:00:00
"PREVI Housing Project, Lima, Peru",Frederick Cooper Llosa,(Peruvian),(Male),-1939,,2006,**Architecture & Design**,2015-04-15T00:00:00
Weather-Vane (Wetterfahne) from Day and Dream,Max Beckmann,(German),(Male),-1884,-1950,2016),**Prints & Illustrated Books**,2015-04-15T00:00:00
"Newport, Rhode Island",Richard Benson,(American),(Male),-1943,-2017,2001S,**Photography**,2015-04-15T00:00:00
"Collected Works, Volume 5: Bok 3a: reconstruction of the book as published by forlag ed 1961 from Collected Works, Volumes 1-20",Dieter Roth,(Swiss),(Male),-1930,-1998,2017,**Prints & Illustrated Books**,2015-04-15T00:00:00
"Old Woman, Barcelona",Robert Frank,(American),(Male),-1924,,2016s,**Photography**,2015-04-15T00:00:00
Brigade Firefighter Helmet,Alexander Bally,(American),(Male),-1938,,2017s,**Architecture & Design**,2015-04-15T00:00:00
Satan,Lovis Corinth,(German),(Male),-1858,-1925,2013,**Prints & Illustrated Books**,2015-04-15T00:00:00
Plate (page 195) from LES CONQUÉRANTS,André Masson,(French),(Male),-1896,-1987,2016),**Prints & Illustrated Books**,2015-04-15T00:00:00
In-text plate (folio 41 verso) from LA MÉTROMANIE,Jean Dubuffet,(French),(Male),-1901,-1985,2017s,**Prints & Illustrated Books**,2015-04-15T00:00:00
No. 12 from the series Variations on a Musical Theme (Variations sur un thème musical),Antoni Tàpies,(Spanish),(Male),-1923,-2012,2016,**Prints & Illustrated Books**,2015-04-15T00:00:00
We Are The World. Biennale di Venezia 2003,Experimental Jetset,(Dutch),(),-1997,,2017C,**Architecture & Design**,2015-04-15T00:00:00
MATCHING AND WEIGHING THE BIRDS,"George Overbury (""Pop"") Hart",(American),(Male),-1868,-1933,2017(,**Prints & Illustrated Books**,2015-04-15T00:00:00
The Rime of the Ancient Mariner,Henry Pearson,(American),(Male),-1914,-2006,2016,**Prints & Illustrated Books**,2015-04-15T00:00:00
Cigarette/Stack fromSmokers,Donald Sultan,(American),(Male),-1951,,2016),**Prints & Illustrated Books**,2015-04-15T00:00:00
Draft of the text for Ethical consideration in project art and Towards a definition of project art,Ben Kinmont,(American),(Male),-1963,,2017s,**Prints & Illustrated Books**,2015-04-15T00:00:00
Living: Some days you wake up and immediately...,Jenny Holzer,(American),(Female),-1950,,2016,**Painting & Sculpture**,2015-04-15T00:00:00
Speaker (model SST-1),Shuichi Obata,(Japanese),(Male),-1932,,2017C,**Architecture & Design**,2015-04-16T00:00:00
Enclosure,Lynda Benglis,(American),(Female),-1941,,2017(,**Media and Performance Art**,2015-04-15T00:00:00
Tête à l'envers,Louise Bourgeois,(American),(Female),-1911,-2010,2016,**Prints & Illustrated Books**,2015-04-15T00:00:00
Sunrise on the Desert,Laura Gilpin,(American),(Female),-1881,-1979,2017),**Photography**,2015-04-15T00:00:00
"8 Square Inches, 4 Measurements",Mel Bochner,(American),(Male),-1940,,2016C,**Drawings**,2015-04-15T00:00:00
Untitled,James Lee Byars,(American),(Male),-1932,-1997,1992S,**Drawings**,2015-04-15T00:00:00
Preparatory material for Levitated Mass (1982),Michael Heizer,(American),(Male),-1944,,2001),**Prints & Illustrated Books**,2015-04-15T00:00:00
Untitled (Pen Drawing of Salavodor),Manfred Pernice,(German),(Male),-1963,,2006,**Drawings**,2015-04-15T00:00:00
Plate (folio 15 verso) from SALT NOTES,James Brown,(American),(Male),-1951,,2016),**Prints & Illustrated Books**,2015-04-15T00:00:00
Selected Works II,Nan Hoover,(American),(Female),-1931,-2008,2001S,**Media and Performance Art**,2015-04-15T00:00:00
Untitled,Garry Winogrand,(American),(Male),-1928,-1984,2017,**Photography**,2015-04-15T00:00:00
"Afternoon Clouds near Kings-Kern Divide, Sequoia National Park, California",Ansel Adams,(American),(Male),-1902,-1984,2016s,**Photography**,2015-04-15T00:00:00
HÔTEL JEAN DE FOURCY. RUE DES FRANCS BOURGEOIS 30,Eugène Atget,(French),(Male),-1857,-1927,2017s,**Photography**,2015-04-15T00:00:00
Plate (page 126) from RÉINCARNATIONS DU PÈRE UBU,Georges Rouault,(French),(Male),-1871,-1958,2013,**Prints & Illustrated Books**,2015-04-15T00:00:00
Untitled,Robert Frank,(American),(Male),-1924,,2016),**Photography**,2015-04-15T00:00:00
Lectron System,Georg Greger,(German),(Male),,,2017s,**Architecture & Design**,2015-04-15T00:00:00
"Israel & Vietnam, The Horrors of Wr, A Dedication to Goya, proofs of plates from the portfolio",Rudolf Schoofs,(German),(Male),,,2016,**Prints & Illustrated Books**,2015-04-15T00:00:00
"The Holy Longing, Jerusalem",Rosalind Fox Solomon,(American),(Female),-1930,,2017C,**Photography**,2015-04-15T00:00:00
"(FACTORIES IN PUTEAUX) (plate, page 95) from TOURNANT DANGEREUX",Maurice de Vlaminck,(French),(Male),-1876,-1958,2017(,**Prints & Illustrated Books**,2015-04-15T00:00:00
"Wolf House, Gubin, Poland (Sections: typical walls)",Ludwig Mies van der Rohe,(American),(Male),-1886,-1969,2016,**Architecture & Design**,2015-04-15T00:00:00
Low Tide Seascape,Lawrence Kupferman,(American),(Male),-1909,-1982,2016),**Drawings**,2015-04-15T00:00:00
