Title,Artist,Nationality,Gender,BeginDate,EndDate,release_year,Department,appt_made_date
"""Untitled""",Felix Gonzalez-Torres,(American),(Male),-1957,-1996,2001,**Painting & Sculpture**,2014-12-18T00:00:00
Plate (page 89) from L'ÉVANGILE,Léo Marchutz,(French),(Male),-1903,-1976,2021,**Prints & Illustrated Books**,2014-12-18T00:00:00
Pleasures and Terrors of Levitation 50,Aaron Siskind,(American),(Male),-1903,-1991,2021(,**Photography**,2014-12-18T00:00:00
Tailpiece (page 44) from FABLES,Thomas Bewick,(British),(Male),-1753,-1828,2021c,**Prints & Illustrated Books**,2014-12-18T00:00:00
"KOTSCHEI (plate, folio 7) from DEM FEUERVOGEL",Helmut A. P. Grieshaber,(German),(Male),-1909,-1981,2021),**Prints & Illustrated Books**,2014-12-18T00:00:00
RUES LANNEAU ET DES CARMES,Eugène Atget,(French),(Male),-1857,-1927,2021S,**Photography**,2014-12-18T00:00:00
Plate (page 160) from RÉINCARNATIONS DU PÈRE UBU,Georges Rouault,(French),(Male),-1871,-1958,2021(,**Prints & Illustrated Books**,2014-12-18T00:00:00
"Landscape Triptych No. 1, State IV/IV",Fred Williams,(Australian),(Male),-1927,-1982,2021,**Prints & Illustrated Books**,2014-12-18T00:00:00
"Mr. Bennett, Vermont",Paul Strand,(American),(Male),-1890,-1976,2021c,**Photography**,2014-12-18T00:00:00
Portrait of Alice (frontispiece) from Alice in Wonderland,Marie Laurencin,(French),(Female),-1883,-1956,2021s,**Prints & Illustrated Books**,2014-12-18T00:00:00
C.N.T. from the portfolio Color Guard Etcetera,Juan Hidalgo,(Spanish),(Male),-1927,,2011s,**Prints & Illustrated Books**,2014-12-18T00:00:00
"Untitled. (portrait of man with dark glasses, Heino?)",Michael Schmidt,(German),(Male),-1945,-2014,2008,**Photography**,2014-12-18T00:00:00
Fortune,Kiki Smith,(American),(Female),-1954,,2009(,**Prints & Illustrated Books**,2014-12-18T00:00:00
"Meeting Street, Charleston, South Carolina, August 3, 1975",Stephen Shore,(American),(Male),-1947,,2007,**Photography**,2014-12-18T00:00:00
Cover for Old Stories (Les Vieilles Histoires),Henri de Toulouse-Lautrec,(French),(Male),-1864,-1901,2010S,**Prints & Illustrated Books**,2014-12-18T00:00:00
Untitled,Willem de Kooning,(American),(Male),-1904,-1997,2005),**Drawings**,2014-12-18T00:00:00
"Double page plate (folios 14 and 15) from AMISH, Volume II",Stephen White,(American),(Male),-1948,,2006(,**Prints & Illustrated Books**,2014-12-18T00:00:00
Are You Rea #17,Robert Heinecken,(American),(Male),-1931,-2006,2004C,**Photography**,2014-12-18T00:00:00
Headpiece (page 93) from PASSION,Georges Rouault,(French),(Male),-1871,-1958,2021,**Prints & Illustrated Books**,2014-12-18T00:00:00
Bar Tools,Studio Opi,(Italian),(),-1955,,2021,**Architecture & Design**,2014-12-18T00:00:00
Multi-use Rocker Prototype,Frederick Kiesler,(American),(Male),-1890,-1965,2021(,**Architecture & Design**,2014-12-18T00:00:00
Cascade Mountains,Lee Friedlander,(American),(Male),-1934,,2021),**Photography**,2014-12-18T00:00:00
Japanese House in the Garden of the Museum of Modern Art,Ezra Stoller,(American),(Male),-1915,-2004,2020),**Architecture & Design**,2014-12-18T00:00:00
"Neue Wache War Memorial Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,(American),(Male),-1886,-1969,2021C,**Architecture & Design**,2014-12-18T00:00:00
[History of Art Chart],George Maciunas,(American),(Male),-1931,-1978,2018,**Prints & Illustrated Books**,2015-01-06T00:00:00
Bagatelle,Eugène Atget,(French),(Male),-1857,-1927,2021c,**Photography**,2015-01-06T00:00:00
MR1002 Flower stand (Plan and detail sections),Ludwig Mies van der Rohe,(American),(Male),-1886,-1969,2010C,**Architecture & Design**,2015-01-06T00:00:00
FONTAINEBLEAU. COUR CHEVAL BLANC,Eugène Atget,(French),(Male),-1857,-1927,2021),**Photography**,2015-01-06T00:00:00
The Toe Tactic,Emily Hubley,(American),(Female),-1958,,2009s,**Film**,2015-01-06T00:00:00
"Paper Piece, Festival of Misfits, ICA, London, October 23- November 8, 1962",Benjamin Patterson,(American),(Male),-1934,-2016,2021S,**Prints & Illustrated Books**,2015-01-06T00:00:00
